At which research institution are you a student or staff member?,Which of these terms best describe your career stage or role? (select one or more),How would you describe your MATLAB experience? (Using terms defined by The Carpentries),Please add any additional detail if you wish,"How would you describe your experience of software development and code in general?

Please consider any experience you have of MATLAB as well as other languages and tools outside of MATLAB.",Please add any additional detail if you wish,"Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Version control (e.g. git, subversion, mercurial, etc.)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Online code hosting (e.g. GitHub, GitLab, BitBucket)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Dependency and/or  environment management (e.g. conda, renv, etc.)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Continuous Integration/Deployment (e.g. automated testing, GitHub Actions, Travis, Jenkins etc.)]","Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Literate programming (e.g. jupyter notebooks, rmarkdown, live scripts, quarto)]",Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Documentation generation and version control],Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Data availability and version control],Please indicate whether you are aware of the following concepts in research software reproducibility and whether you use them in your work. [Software testing],Is there anything else you'd like to tell us following this question?,"Do you use git as a version control system with MATLAB? If so, which interface(s) do you use?",Is there anything else you'd like to tell us following this question?,Which of the following MATLAB tools and language features do you use?,"If you have indicated that you’re aware of a tool or reproducibility concept but that you don’t use it, please tell us what would make you more likely to use it.","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [MATLAB Projects (https://uk.mathworks.com/help/matlab/projects.html)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Version control (e.g. git)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Custom MATLAB Toolbox Development]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Publishing code (sharing code with a research publication)]","Of these tools, please indicate whether you would like to learn about them and if so, whether you'd prefer to learn yourself or in structured training. [Software Licensing]","In general, which training formats do you favour for learning coding/software development skills?","When you seek guidance in writing code, where do you turn to?",Is there anything else you’d like to share on the topic of MATLAB and reproducibility methods?
University of Sheffield,Postgraduate Masters student,Novice,,Novice,,Not aware of,Not aware of,Not aware of,Not aware of,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,,I don't use git with MATLAB,,"Functions, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),"Remote (online) lecture, Remote (online) practical, Video tutorials",Colleagues,
Energy 2050,Doctoral Student (PhD/EngD or similar),Expert,,Competent Practitioner,,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,,,I don't use git with MATLAB,,"Functions, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Already familiar with,Would like to learn (in structured training),Already familiar with,Would like to learn (in structured training),Would like to learn (in structured training),Already familiar with,Not interested,In-person lecture,Third-party online guidance,
,Undergraduate student,Competent Practitioner,,Competent Practitioner,,Aware of but don't use,Aware of but don't use,Not aware of,Not aware of,Not aware of,Not aware of,Aware of but don't use,Aware of but don't use,,I don't use git with MATLAB,,Functions,,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),In-person practical,Colleagues,
Stanford University,Postgraduate Masters student,Competent Practitioner,NO,Competent Practitioner,NO,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,NO,"I don't use git with MATLAB, git's command line interface, Other development environment git interface (e.g. VScode, Rstudio, PyCharm)",NO,"Functions, Classes and Object-Oriented Programming, Projects (https://uk.mathworks.com/help/matlab/projects.html), MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html), Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html), Custom toolbox development",YES,Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),In-person practical,"Official documentation, Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central, Institutional support (e.g. code clinics, RSE drop-in sessions)",NO
Stanford University,Postgraduate Masters student,Competent Practitioner,NO,Competent Practitioner,NO,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,NO,"I don't use git with MATLAB, git's command line interface, Other development environment git interface (e.g. VScode, Rstudio, PyCharm)",NO,"Functions, Classes and Object-Oriented Programming, Projects (https://uk.mathworks.com/help/matlab/projects.html), MATLAB's source control integration (https://uk.mathworks.com/help/matlab/source-control.html), Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html), Custom toolbox development",YES,Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (on my own),In-person practical,"Official documentation, Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central, Institutional support (e.g. code clinics, RSE drop-in sessions)",NO
Four Leaf Clover,Undergraduate student,Novice,,Competent Practitioner,,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use with MATLAB,Aware of but don't use,Not aware of,Aware of but don't use,Aware of and use outside MATLAB,Aware of but don't use,,git's command line interface,Very good performance,"Classes and Object-Oriented Programming, Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html)",It helps me a lot,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (in structured training),Would like to learn (in structured training),Not interested,Not interested,Not interested,"In-person practical, Video tutorials",Online Q&A/Forums/Stack Overflow/MATLAB Central,Version control needs to be enhanced
Staff member,Postdoctoral Researcher / Research Fellow,Expert,,Competent Practitioner,,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,Aware of but don't use,,"I don't use git with MATLAB, MATLAB's source control tools",,Functions,,Already familiar with,Already familiar with,Would like to learn (on my own),Would like to learn (on my own),Would like to learn (on my own),Already familiar with,Already familiar with,Video tutorials,Official documentation,
University of Manchester,"Research Software Engineer/Software Developer, Research Technician",Competent Practitioner,Wrote my own (open source) MATLAB toolbox,Competent Practitioner,"Coding OK, but software engineering (unit tests, continuous integration) less so. ",Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use outside MATLAB,Aware of but don't use,,SourceTree (on Windows) and SmartGit (on Linux),"Chop and change between git clients, but never CLI. ","Functions, Classes and Object-Oriented Programming, Custom toolbox development","Guide for GUI design. It's not great, so only provide a library. ",Not interested,Would like to learn (in structured training),Not interested,Already familiar with,Already familiar with,Would like to learn (in structured training),Would like to learn (in structured training),"Remote (online) lecture, Written tutorials, Blogs",Online Q&A/Forums/Stack Overflow/MATLAB Central,Writing online help is a pain. Automation of testing (eg CI) is a dark art. 
"	University of California, San Diego",Undergraduate student,Novice,,Competent Practitioner,,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use with MATLAB,,"MATLAB's source control tools, GitKraken Client, GitHub Desktop",,"Functions, Projects (https://uk.mathworks.com/help/matlab/projects.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Already familiar with,Would like to learn (on my own),Already familiar with,Already familiar with,Would like to learn (on my own),Already familiar with,Already familiar with,"In-person practical, Remote (online) lecture, Video tutorials","Official documentation, Institutional support (e.g. code clinics, RSE drop-in sessions)",
	University of Chicago,Doctoral Student (PhD/EngD or similar),Competent Practitioner,,Competent Practitioner,,Aware of but don't use,Aware of and use with MATLAB,Aware of but don't use,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,Aware of and use outside MATLAB,Aware of and use with MATLAB,,"Other development environment git interface (e.g. VScode, Rstudio, PyCharm), GitHub Desktop",,"Projects (https://uk.mathworks.com/help/matlab/projects.html), Testing (https://uk.mathworks.com/help/matlab/matlab-unit-test-framework.html), Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Already familiar with,Already familiar with,Already familiar with,Would like to learn (on my own),Already familiar with,Would like to learn (on my own),Already familiar with,"In-person lecture, Remote (online) practical, Written tutorials","Official documentation, Colleagues",
The University of Sheffield,Academic Researcher or Lecturer,Competent Practitioner,,Competent Practitioner,,Aware of but don't use,Aware of but don't use,Not aware of,Not aware of,Aware of but don't use,Aware of but don't use,Aware of and use outside MATLAB,Aware of but don't use,,I don't use git with MATLAB,,"Functions, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Would like to learn (on my own),Not interested,Would like to learn (in structured training),Would like to learn (in structured training),Not interested,Would like to learn (on my own),Not interested,"In-person practical, Remote (online) practical, Video tutorials","Official documentation, Online Q&A/Forums/Stack Overflow/MATLAB Central",
University of Sheffield ,Undergraduate student,Novice,,Novice,,Aware of and use outside MATLAB,"Aware of and use outside MATLAB, Aware of but don't use",Aware of but don't use,Aware of and use outside MATLAB,Aware of but don't use,Aware of and use with MATLAB,Aware of and use with MATLAB,Aware of but don't use,,I don't use git with MATLAB,,"Functions, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Would like to learn (on my own),Would like to learn (in structured training),Already familiar with,Already familiar with,Would like to learn (in structured training),Not interested,Not interested,Video tutorials,"Official documentation, Third-party online guidance, Colleagues",
University of Sheffield,Undergraduate student,Competent Practitioner,,Competent Practitioner,,Not aware of,Aware of and use outside MATLAB,Not aware of,Not aware of,Aware of and use with MATLAB,Aware of but don't use,Aware of but don't use,Aware of but don't use,,I don't use git with MATLAB,,"Functions, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)",,Would like to learn (on my own),Would like to learn (on my own),Already familiar with,Would like to learn (in structured training),Would like to learn (in structured training),Not interested,Not interested,"In-person lecture, Remote (online) lecture, Remote (online) practical, Written tutorials, Video tutorials","Official documentation, Third-party online guidance, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central",
University of Sheffield ,Postgraduate Masters student,Novice,,Novice,,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Aware of and use outside MATLAB,Not aware of,Aware of but don't use,Aware of but don't use,Aware of but don't use,Not aware of,,I don't use git with MATLAB,,"Functions, Classes and Object-Oriented Programming",,Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),Would like to learn (in structured training),"In-person practical, Remote (online) practical, Video tutorials","Official documentation, Colleagues, Online Q&A/Forums/Stack Overflow/MATLAB Central, Institutional support (e.g. code clinics, RSE drop-in sessions)",
University of Sheffield ,Doctoral Student (PhD/EngD or similar),Competent Practitioner,,Novice,,Aware of and use outside MATLAB,Aware of but don't use,Not aware of,Not aware of,Not aware of,Aware of but don't use,Aware of but don't use,Aware of but don't use,,I don't use git with MATLAB,,"Functions, Classes and Object-Oriented Programming, Live Scripts (https://uk.mathworks.com/help/matlab/live-scripts-and-functions.html)","Most cases there is no need for it in my work, however though I am aware of GIT I don’t use it due to the confidentiality of the research.",Not interested,Not interested,Already familiar with,Not interested,Not interested,Not interested,Not interested,"In-person practical, Remote (online) practical","Official documentation, Third-party online guidance, Online Q&A/Forums/Stack Overflow/MATLAB Central",
